Judul,Tanggal
Mahasiswa Ekonomi Islam UNAIR Kenalkan Green Sukuk Bersama Direktur Pembiayaan Syariah,19/10/2022
"Peringati Hari Kesehatan Mental Sedunia, PSYCHOFEST FPsi UNAIR Gelar Long March Edukasi Kesehatan Mental",19/10/2022
Pakar Hukum UNAIR: Gas Air Mata dan Kekerasan Langgar Etik Hingga Pidana,19/10/2022
SDGs Center UNAIR Hadiri Sosialisasi Bappenas tentang Pelaksanaan Pencapaian SDGs,18/10/2022
Jangkauan Tol Laut Menuju Kemandirian dan Kedaulatan Negara,18/10/2022
Himpunan Kedokteran Hewan SIKIA UNAIR Berikan Susu Gratis Peringati Hari Pangan Dunia,18/10/2022
BEM FKp UNAIR Gelar Webinar dengan Tajuk Pondasi dalam Public Speaking,18/10/2022
Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,18/10/2022
Semnas FKM UNAIR Ambil Peran Cegah Perubahan Iklim,18/10/2022
"Gugah Kesadaran bangun Green Economy, BEM FISIP Universitas Airlangga Sosialisasikan Bank Sampah Emas",18/10/2022
"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik",18/10/2022
Mahasiswa UNAIR Raih 5 Medali di Lomba ON-MIPA-PT 2022,18/10/2022
Seminar Kolokium UiTM Law x FH UNAIR Diskusikan Peran Hukum dalam Menyokong Inovasi Teknologi dan SDGs,18/10/2022
Direktorat Kemahasiswaan Bedah Buku Panduan GEMASTIK 2022,18/10/2022
FH UNAIR dan Fakulti Undang-Undang UiTM Gelar Kolokium terkait Peran Hukum untuk Memajukan SDGs,18/10/2022
Dosen UNAIR Bagikan Kiat Menjaga Daya Tahan Tubuh di Musim Pancaroba,18/10/2022
Langkah Bijak Pilih Layanan Penitipan Hewan Kesayanganmu,18/10/2022
UNAIR MENGAJAR Ajak Orang Tua Pahami Strategi Mendidik Anak di Era Digital,18/10/2022
"Peka Terhadap Kesehatan Mental, Mahasiswa Keperawatan UNAIR Gagas Aplikasi Axiap",17/10/2022
Roadshow Komunitas PMW UNAIR Ajak Kolaborasi Ormawa Hingga Targetkan Ekosistem Kewirausahaan Kampus,17/10/2022
Cegah Gigitan Bisa Ular pada Hewan Kesayangan,17/10/2022
Cerita Mahasiswi FISIP UNAIR Ajak Generasi Muda Berbudaya dengan Berkain,17/10/2022
Alumni FEB UNAIR Kupas Tuntas 5 Komponen dalam Business Plan,17/10/2022
"Peringati Hari Kesehatan Mental Dunia, BEM FST UNAIR Gelar Seminar Teman Bicara",17/10/2022
Pemilihan Duta UNAIR 2022 Resmi Digelar,17/10/2022
Tips dan Strategi Tembus Lomba Business Plan dari Alumnus FEB,17/10/2022
Edukasi dan Pendampingan Maksimalkan Potensi Anak Berkebutuhan Khusus,17/10/2022
"Minuman Berpemanis dan Plastik Kena Cukai, Dosen UNAIR: Intervensi Hilir juga Perlu",17/10/2022
UNAIR Bersama Warga dan Mahasiswa Ikuti Minggu Sehat,17/10/2022
Prodi Pengobat Tradisional UNAIR Ikuti Pelatihan Kompetensi Ayurveda,17/10/2022
Pakar Toksikologi UNAIR Beberkan Sifat Dasar dan Efek Senyawa Kimia Gas Air Mata,17/10/2022
"Sekolah Pascasarjana UNAIR Gelar Konferensi Internasional, Bahas Kebangkitan Pandemi",17/10/2022
Apa Saja Peraturan Pajak yang Perlu Dicermati? AEEC Berikan Jawabannya!,17/10/2022
Kolaborasi FKM UNAIR dan BPBD Jatim Tingkatkan Kesadaran Waspada Bencana Hidrometeorologi,17/10/2022
Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day,17/10/2022
Kolaborasi Antarkan 2 Mahasiswa UNAIR Juara I Lomba Debat Nasional FEMAMI 2022,17/10/2022
Jangan Sepelekan Keputihan! Dokter UNAIR Berikan Tips Bersihkan Organ Intim Wanita dengan Benar,17/10/2022
KUBA 2022 Ajak Peserta Pahami Dua Konsep Bisnis,17/10/2022
"Sumpah Apoteker Ke-114, Rektor: Apoteker Harus Peka dengan Isu Fundamental",17/10/2022
Mahasiswa UNAIR Sabet Dua Penghargaan Sekaligus dalam Perlombaan Tingkat Internasional,17/10/2022
Airlangga Global Fisheries Symposium FPK UNAIR Ajak Peserta Tanam Mangrove,17/10/2022
Cerita Mahasiswa UNAIR Juara 1 Business Plan Competition Vetepreneur,17/10/2022
Magister Manajemen Bencana UNAIR Ajak Masyarakat Siaga Bencana dengan Kearifan Lokal,17/10/2022
"Cetus Teknologi Manajemen Stres, Mahasiswa UNAIR Raih Juara 2 Lomba Esai Nasional",17/10/2022
BEM FPK UNAIR Ajak Mahasiswa Kritis Melalui Lomba Debat,17/10/2022
IISMAVO Berikan Paparan Menarik Magang ke Luar Negeri,16/10/2022
"Sekolah Rodinda, Jurnalis Tirto Sampaikan Cara Mencegah Hoaks dalam Berita",16/10/2022
Dosen UNAIR Berbagi Tips Tingkatkan Sitasi Publikasi Ilmiah,16/10/2022
Sekolah Pascasarjana UNAIR Gelar Acara Forum Diskusi “Birokrasi Melayani”,15/10/2022
Dosen HTN FH UNAIR Jelaskan Kondisi Penerapan Konstitusi di Indonesia,15/10/2022
UNAIR Posisi Kedua di Indonesia Versi THE WUR,14/10/2022
"Bangga, Mahasiswa FEB UNAIR Raih Juara 3 Kompetisi Cerdas Investasi",14/10/2022
Persiapkan Lebih Awal untuk Lanjut Program Master di Luar Negeri,14/10/2022
"Makaseeh.rek, Makaroni Tanpa MSG dan Gluten Buatan Mahasiswa UNAIR",14/10/2022
Mesin Pemisah Duri Ikan Karya FPK UNAIR Bantu UMKM Tingkatkan Produksi,14/10/2022
"Gandeng BPJS Kesehatan, DPKKA Manfaatkan Gen Y dan Z Perkuat SDM",14/10/2022
UNAIR Seleksi 12 UMKM yang Akan Isi Kantin Kampus Dharmahusada B,14/10/2022
Semarak Pendekar 2022 Dorong Prestasi dan Inovasi Maba FST UNAIR,14/10/2022
Jalur Rempah Surabaya Antarkan Mahasiswa UNAIR Sabet Juara 1 Video Pendek Nasional,14/10/2022
Psikolog UNAIR: Kenali Penanganan Post Trauma pada Korban Kanjuruhan,14/10/2022
